G,G,F,F,F,UTIL
Kahleah Copper(40009895),Paige Bueckers(40009875),Breanna Stewart(40009869),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Jewell Loyd(40009941)
Kia Nurse(40009975),Paige Bueckers(40009875),Alyssa Thomas(40009861),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Satou Sabally(40009885)
Kahleah Copper(40009895),Rachel Banham(40009947),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),Dearica Hamby(40009873),Veronica Burton(40009881)
Haley Jones(40009919),Kahleah Copper(40009895),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Veronica Burton(40009881)
Haley Jones(40009919),Paige Bueckers(40009875),Kalani Brown(40010041),Satou Sabally(40009885),Azurá Stevens(40009893),Veronica Burton(40009881)
Haley Jones(40009919),Rachel Banham(40009947),Alyssa Thomas(40009861),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Myisha Hines Allen(40009901)
Kahleah Copper(40009895),Kia Nurse(40009975),Kalani Brown(40010041),Kamilla Cardoso(40009877),Dearica Hamby(40009873),Veronica Burton(40009881)
Sami Whitcomb(40009959),Veronica Burton(40009881),Michaela Onyenwere(40009979),A'ja Wilson(40009859),Azurá Stevens(40009893),Jewell Loyd(40009941)
Kahleah Copper(40009895),Paige Bueckers(40009875),Jessica Shepard(40009915),Natasha Mack(40009937),Dearica Hamby(40009873),Sami Whitcomb(40009959)
Kahleah Copper(40009895),Veronica Burton(40009881),Jessica Shepard(40009915),Maddy Westbeld(40010003),A'ja Wilson(40009859),Rae Burrell(40009969)
Kahleah Copper(40009895),Rachel Banham(40009947),Alyssa Thomas(40009861),Kalani Brown(40010041),Myisha Hines Allen(40009901),Veronica Burton(40009881)
Haley Jones(40009919),Kia Nurse(40009975),Breanna Stewart(40009869),Natasha Mack(40009937),Satou Sabally(40009885),Jackie Young(40009871)
Kahleah Copper(40009895),Veronica Burton(40009881),Kalani Brown(40010041),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Azurá Stevens(40009893)
Kahleah Copper(40009895),Kia Nurse(40009975),Breanna Stewart(40009869),Michaela Onyenwere(40009979),Dearica Hamby(40009873),Veronica Burton(40009881)
Kaila Charles(40009935),Rachel Banham(40009947),Alyssa Thomas(40009861),Cheyenne Parker Tyus(40010055),Dearica Hamby(40009873),Veronica Burton(40009881)
Grace Berger(40009943),Kia Nurse(40009975),Kamilla Cardoso(40009877),Natasha Mack(40009937),A'ja Wilson(40009859),Natisha Hiedeman(40009925)
Kahleah Copper(40009895),Kayla McBride(40009923),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Azurá Stevens(40009893),Dearica Hamby(40009873)
Kia Nurse(40009975),Veronica Burton(40009881),Natasha Mack(40009937),A'ja Wilson(40009859),Azurá Stevens(40009893),NaLyssa Smith(40009965)
Kaila Charles(40009935),Kia Nurse(40009975),Breanna Stewart(40009869),Myisha Hines Allen(40009901),Satou Sabally(40009885),Veronica Burton(40009881)
Kahleah Copper(40009895),Natisha Hiedeman(40009925),Kamilla Cardoso(40009877),Michaela Onyenwere(40009979),Myisha Hines Allen(40009901),Veronica Burton(40009881)
Veronica Burton(40009881),Rae Burrell(40009969),Janelle Salaun(40009905),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),A'ja Wilson(40009859)
Natisha Hiedeman(40009925),Paige Bueckers(40009875),Jonquel Jones(40009899),Maddy Westbeld(40010003),Satou Sabally(40009885),Veronica Burton(40009881)
Grace Berger(40009943),Haley Jones(40009919),Natasha Mack(40009937),Azurá Stevens(40009893),Dearica Hamby(40009873),Kahleah Copper(40009895)
Rachel Banham(40009947),Rebecca Allen(40009989),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Dearica Hamby(40009873),Veronica Burton(40009881)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Alyssa Thomas(40009861),Janelle Salaun(40009905),Jessica Shepard(40009915),Kalani Brown(40010041)
Kia Nurse(40009975),Jewell Loyd(40009941),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),A'ja Wilson(40009859),NaLyssa Smith(40009965)
Kahleah Copper(40009895),Rebecca Allen(40009989),Kalani Brown(40010041),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),A'ja Wilson(40009859)
Kaila Charles(40009935),Chelsea Gray(40009883),Janelle Salaun(40009905),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Natasha Mack(40009937)
Grace Berger(40009943),Kia Nurse(40009975),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),A'ja Wilson(40009859),Veronica Burton(40009881)
Kahleah Copper(40009895),Veronica Burton(40009881),Maria Kliundikova(40009991),Natasha Mack(40009937),Satou Sabally(40009885),Dearica Hamby(40009873)
Grace Berger(40009943),Kahleah Copper(40009895),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Dearica Hamby(40009873),Veronica Burton(40009881)
Sami Whitcomb(40009959),Veronica Burton(40009881),Kamilla Cardoso(40009877),Natasha Mack(40009937),Dearica Hamby(40009873),Jewell Loyd(40009941)
Sami Whitcomb(40009959),Veronica Burton(40009881),Monique Billings(40009973),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Jewell Loyd(40009941)
Paige Bueckers(40009875),Jewell Loyd(40009941),Breanna Stewart(40009869),Kalani Brown(40010041),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901)
Kaila Charles(40009935),Natisha Hiedeman(40009925),Alyssa Thomas(40009861),Maria Kliundikova(40009991),Azurá Stevens(40009893),Veronica Burton(40009881)
Kia Nurse(40009975),Rebecca Allen(40009989),Alyssa Thomas(40009861),Satou Sabally(40009885),A'ja Wilson(40009859),Cheyenne Parker Tyus(40010055)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Alyssa Thomas(40009861),Azurá Stevens(40009893),Cheyenne Parker Tyus(40010055),Veronica Burton(40009881)
Haley Jones(40009919),Veronica Burton(40009881),Kalani Brown(40010041),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),A'ja Wilson(40009859)
Haley Jones(40009919),Kia Nurse(40009975),Alyssa Thomas(40009861),Cheyenne Parker Tyus(40010055),Dearica Hamby(40009873),Veronica Burton(40009881)
Kaila Charles(40009935),Veronica Burton(40009881),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Monique Billings(40009973),A'ja Wilson(40009859)
Natisha Hiedeman(40009925),Sami Whitcomb(40009959),Alyssa Thomas(40009861),Myisha Hines Allen(40009901),Natasha Mack(40009937),Azurá Stevens(40009893)
Veronica Burton(40009881),Rae Burrell(40009969),Alyssa Thomas(40009861),Kalani Brown(40010041),Maddy Westbeld(40010003),A'ja Wilson(40009859)
Kaila Charles(40009935),Veronica Burton(40009881),Michaela Onyenwere(40009979),A'ja Wilson(40009859),Cheyenne Parker Tyus(40010055),Dearica Hamby(40009873)
Kaila Charles(40009935),Veronica Burton(40009881),Breanna Stewart(40009869),Janelle Salaun(40009905),Kalani Brown(40010041),Dearica Hamby(40009873)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Breanna Stewart(40009869),Janelle Salaun(40009905),Natasha Mack(40009937),Veronica Burton(40009881)
Haley Jones(40009919),Paige Bueckers(40009875),Kalani Brown(40010041),A'ja Wilson(40009859),Cheyenne Parker Tyus(40010055),Veronica Burton(40009881)
Haley Jones(40009919),Veronica Burton(40009881),Maria Kliundikova(40009991),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Rae Burrell(40009969)
Haley Jones(40009919),Kahleah Copper(40009895),Alyssa Thomas(40009861),Kamilla Cardoso(40009877),Monique Billings(40009973),Kia Nurse(40009975)
Kia Nurse(40009975),Veronica Burton(40009881),Alyssa Thomas(40009861),Kamilla Cardoso(40009877),Natasha Mack(40009937),NaLyssa Smith(40009965)
Kahleah Copper(40009895),Natisha Hiedeman(40009925),Maddy Westbeld(40010003),Satou Sabally(40009885),Dearica Hamby(40009873),Veronica Burton(40009881)
Kahleah Copper(40009895),Paige Bueckers(40009875),Jonquel Jones(40009899),Kathryn Westbeld(40010007),Maddy Westbeld(40010003),A'ja Wilson(40009859)
Kahleah Copper(40009895),Kia Nurse(40009975),Kalani Brown(40010041),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Veronica Burton(40009881)
Rebecca Allen(40009989),Veronica Burton(40009881),Breanna Stewart(40009869),Jessica Shepard(40009915),Kamilla Cardoso(40009877),Natasha Mack(40009937)
Haley Jones(40009919),Kia Nurse(40009975),Janelle Salaun(40009905),Kamilla Cardoso(40009877),A'ja Wilson(40009859),Rebecca Allen(40009989)
Kaila Charles(40009935),Veronica Burton(40009881),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Azurá Stevens(40009893),Dearica Hamby(40009873)
Haley Jones(40009919),Natisha Hiedeman(40009925),Alyssa Thomas(40009861),Janelle Salaun(40009905),Kathryn Westbeld(40010007),Veronica Burton(40009881)
Kahleah Copper(40009895),Kia Nurse(40009975),Kamilla Cardoso(40009877),Michaela Onyenwere(40009979),Dearica Hamby(40009873),Veronica Burton(40009881)
Kia Nurse(40009975),Veronica Burton(40009881),Alyssa Thomas(40009861),Jonquel Jones(40009899),Myisha Hines Allen(40009901),Rae Burrell(40009969)
Veronica Burton(40009881),Dana Evans(40009955),Jonquel Jones(40009899),Myisha Hines Allen(40009901),Natasha Mack(40009937),Jackie Young(40009871)
Kahleah Copper(40009895),Veronica Burton(40009881),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Natasha Mack(40009937),Jackie Young(40009871)
Kahleah Copper(40009895),Paige Bueckers(40009875),Michaela Onyenwere(40009979),Dearica Hamby(40009873),NaLyssa Smith(40009965),Veronica Burton(40009881)
Kia Nurse(40009975),Natisha Hiedeman(40009925),Natasha Mack(40009937),Satou Sabally(40009885),Dearica Hamby(40009873),Veronica Burton(40009881)
Natisha Hiedeman(40009925),Sami Whitcomb(40009959),Natasha Mack(40009937),Satou Sabally(40009885),Dearica Hamby(40009873),Veronica Burton(40009881)
Paige Bueckers(40009875),Sami Whitcomb(40009959),Breanna Stewart(40009869),Michaela Onyenwere(40009979),Myisha Hines Allen(40009901),Veronica Burton(40009881)
Sami Whitcomb(40009959),Veronica Burton(40009881),Maddy Westbeld(40010003),Natasha Mack(40009937),Satou Sabally(40009885),A'ja Wilson(40009859)
Paige Bueckers(40009875),Veronica Burton(40009881),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Maria Kliundikova(40009991),Jackie Young(40009871)
Sami Whitcomb(40009959),Veronica Burton(40009881),Alyssa Thomas(40009861),Jessica Shepard(40009915),Monique Billings(40009973),Myisha Hines Allen(40009901)
Sami Whitcomb(40009959),Veronica Burton(40009881),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),Satou Sabally(40009885),Dearica Hamby(40009873)
Kaila Charles(40009935),Paige Bueckers(40009875),Breanna Stewart(40009869),Kamilla Cardoso(40009877),NaLyssa Smith(40009965),Jewell Loyd(40009941)
Kahleah Copper(40009895),Veronica Burton(40009881),Breanna Stewart(40009869),Kalani Brown(40010041),Kamilla Cardoso(40009877),Natasha Mack(40009937)
Kia Nurse(40009975),Jackie Young(40009871),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),A'ja Wilson(40009859),Rae Burrell(40009969)
Kia Nurse(40009975),Veronica Burton(40009881),Breanna Stewart(40009869),Kalani Brown(40010041),Kamilla Cardoso(40009877),Jackie Young(40009871)
Sami Whitcomb(40009959),Veronica Burton(40009881),Monique Billings(40009973),Myisha Hines Allen(40009901),Natasha Mack(40009937),A'ja Wilson(40009859)
Haley Jones(40009919),Dana Evans(40009955),Jessica Shepard(40009915),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Satou Sabally(40009885)
Kia Nurse(40009975),Veronica Burton(40009881),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Dana Evans(40009955)
Kaila Charles(40009935),Rae Burrell(40009969),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Satou Sabally(40009885),A'ja Wilson(40009859)
Kia Nurse(40009975),Sami Whitcomb(40009959),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Veronica Burton(40009881)
Kahleah Copper(40009895),Veronica Burton(40009881),Alyssa Thomas(40009861),Kathryn Westbeld(40010007),Cheyenne Parker Tyus(40010055),Jackie Young(40009871)
Kia Nurse(40009975),Jackie Young(40009871),Kalani Brown(40010041),Kamilla Cardoso(40009877),A'ja Wilson(40009859),NaLyssa Smith(40009965)
Kia Nurse(40009975),Jackie Young(40009871),Maddy Westbeld(40010003),A'ja Wilson(40009859),Dearica Hamby(40009873),NaLyssa Smith(40009965)
Haley Jones(40009919),Kahleah Copper(40009895),Breanna Stewart(40009869),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Veronica Burton(40009881)
Kia Nurse(40009975),Jackie Young(40009871),Kamilla Cardoso(40009877),Michaela Onyenwere(40009979),Myisha Hines Allen(40009901),Dearica Hamby(40009873)
Kahleah Copper(40009895),Veronica Burton(40009881),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Natasha Mack(40009937),NaLyssa Smith(40009965)
Sami Whitcomb(40009959),Veronica Burton(40009881),Alyssa Thomas(40009861),Janelle Salaun(40009905),Maria Kliundikova(40009991),Myisha Hines Allen(40009901)
Kia Nurse(40009975),Paige Bueckers(40009875),Breanna Stewart(40009869),Myisha Hines Allen(40009901),NaLyssa Smith(40009965),Veronica Burton(40009881)
Kahleah Copper(40009895),Kia Nurse(40009975),Jessica Shepard(40009915),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Veronica Burton(40009881)
Haley Jones(40009919),Veronica Burton(40009881),Natasha Mack(40009937),A'ja Wilson(40009859),NaLyssa Smith(40009965),Dana Evans(40009955)
Kaila Charles(40009935),Veronica Burton(40009881),Alyssa Thomas(40009861),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),NaLyssa Smith(40009965)
Kahleah Copper(40009895),Rachel Banham(40009947),Kamilla Cardoso(40009877),Satou Sabally(40009885),Azurá Stevens(40009893),Jewell Loyd(40009941)
Kahleah Copper(40009895),Kia Nurse(40009975),Natasha Mack(40009937),Satou Sabally(40009885),Dearica Hamby(40009873),Veronica Burton(40009881)
Kaila Charles(40009935),Veronica Burton(40009881),Alyssa Thomas(40009861),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),Dana Evans(40009955)
Kia Nurse(40009975),Natisha Hiedeman(40009925),Alyssa Thomas(40009861),Maria Kliundikova(40009991),Dearica Hamby(40009873),Veronica Burton(40009881)
Kahleah Copper(40009895),Natisha Hiedeman(40009925),Iliana Rupert(40009921),Jessica Shepard(40009915),Myisha Hines Allen(40009901),Veronica Burton(40009881)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Natasha Mack(40009937),Satou Sabally(40009885)
Grace Berger(40009943),Sami Whitcomb(40009959),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Jackie Young(40009871)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Azurá Stevens(40009893),Cheyenne Parker Tyus(40010055)
Veronica Burton(40009881),Dana Evans(40009955),Maddy Westbeld(40010003),A'ja Wilson(40009859),Dearica Hamby(40009873),NaLyssa Smith(40009965)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Alyssa Thomas(40009861),Kalani Brown(40010041),Azurá Stevens(40009893),Veronica Burton(40009881)
Kahleah Copper(40009895),Kia Nurse(40009975),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Satou Sabally(40009885),Sami Whitcomb(40009959)
Haley Jones(40009919),Kaila Charles(40009935),Janelle Salaun(40009905),Jonquel Jones(40009899),A'ja Wilson(40009859),Rebecca Allen(40009989)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Breanna Stewart(40009869),Maddy Westbeld(40010003),Dearica Hamby(40009873),Veronica Burton(40009881)
Kahleah Copper(40009895),Kia Nurse(40009975),Janelle Salaun(40009905),Jessica Shepard(40009915),Satou Sabally(40009885),Veronica Burton(40009881)
Paige Bueckers(40009875),Sami Whitcomb(40009959),Breanna Stewart(40009869),Kalani Brown(40010041),Michaela Onyenwere(40009979),A'ja Wilson(40009859)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Natasha Mack(40009937),A'ja Wilson(40009859),NaLyssa Smith(40009965),Dana Evans(40009955)
Kahleah Copper(40009895),Kia Nurse(40009975),Alyssa Thomas(40009861),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),Paige Bueckers(40009875)
Kaila Charles(40009935),Rae Burrell(40009969),Kalani Brown(40010041),Kamilla Cardoso(40009877),Satou Sabally(40009885),A'ja Wilson(40009859)
Paige Bueckers(40009875),Sami Whitcomb(40009959),Kamilla Cardoso(40009877),Maddy Siegrist(40009887),Maddy Westbeld(40010003),Dearica Hamby(40009873)
Kaila Charles(40009935),Chelsea Gray(40009883),Jessica Shepard(40009915),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Jewell Loyd(40009941)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Temi Fagbenle(40009945),A'ja Wilson(40009859),Cheyenne Parker Tyus(40010055),Veronica Burton(40009881)
Kaila Charles(40009935),Jackie Young(40009871),Alyssa Thomas(40009861),Jessica Shepard(40009915),Monique Billings(40009973),Natasha Mack(40009937)
Marine Johannes(40009987),Veronica Burton(40009881),Breanna Stewart(40009869),Michaela Onyenwere(40009979),A'ja Wilson(40009859),Dana Evans(40009955)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Alyssa Thomas(40009861),Kathryn Westbeld(40010007),Azurá Stevens(40009893),Veronica Burton(40009881)
Kahleah Copper(40009895),Natisha Hiedeman(40009925),Breanna Stewart(40009869),Kathryn Westbeld(40010007),Myisha Hines Allen(40009901),Paige Bueckers(40009875)
Kahleah Copper(40009895),Rachel Banham(40009947),Maddy Westbeld(40010003),Natasha Mack(40009937),A'ja Wilson(40009859),Veronica Burton(40009881)
Kahleah Copper(40009895),Kaila Charles(40009935),Kamilla Cardoso(40009877),Maddy Siegrist(40009887),Myisha Hines Allen(40009901),Sami Whitcomb(40009959)
Kia Nurse(40009975),Veronica Burton(40009881),Alyssa Thomas(40009861),Monique Billings(40009973),Natasha Mack(40009937),Dearica Hamby(40009873)
Kaila Charles(40009935),Veronica Burton(40009881),Breanna Stewart(40009869),Monique Billings(40009973),Natasha Mack(40009937),Jackie Young(40009871)
Veronica Burton(40009881),Dana Evans(40009955),Maddy Westbeld(40010003),Natasha Mack(40009937),Satou Sabally(40009885),A'ja Wilson(40009859)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Michaela Onyenwere(40009979),Myisha Hines Allen(40009901),Azurá Stevens(40009893),Jackie Young(40009871)
Kahleah Copper(40009895),Jackie Young(40009871),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),Dearica Hamby(40009873),NaLyssa Smith(40009965)
Kahleah Copper(40009895),Dana Evans(40009955),Kalani Brown(40010041),Kamilla Cardoso(40009877),Dearica Hamby(40009873),Jackie Young(40009871)
Kaila Charles(40009935),Kia Nurse(40009975),A'ja Wilson(40009859),Cheyenne Parker Tyus(40010055),Dearica Hamby(40009873),Veronica Burton(40009881)
Kahleah Copper(40009895),Kia Nurse(40009975),Kamilla Cardoso(40009877),Maria Kliundikova(40009991),Dearica Hamby(40009873),Veronica Burton(40009881)
Kahleah Copper(40009895),Veronica Burton(40009881),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Azurá Stevens(40009893)
Grace Berger(40009943),Rachel Banham(40009947),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Azurá Stevens(40009893),Veronica Burton(40009881)
Sami Whitcomb(40009959),Veronica Burton(40009881),Michaela Onyenwere(40009979),Myisha Hines Allen(40009901),Dearica Hamby(40009873),Jackie Young(40009871)
Grace Berger(40009943),Rebecca Allen(40009989),Breanna Stewart(40009869),Maria Kliundikova(40009991),A'ja Wilson(40009859),Veronica Burton(40009881)
Kia Nurse(40009975),Natisha Hiedeman(40009925),Maddy Westbeld(40010003),Satou Sabally(40009885),A'ja Wilson(40009859),Veronica Burton(40009881)
Kia Nurse(40009975),Sami Whitcomb(40009959),Myisha Hines Allen(40009901),Natasha Mack(40009937),A'ja Wilson(40009859),Veronica Burton(40009881)
Haley Jones(40009919),Veronica Burton(40009881),Kalani Brown(40010041),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Satou Sabally(40009885)
Haley Jones(40009919),Veronica Burton(40009881),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Satou Sabally(40009885),Cheyenne Parker Tyus(40010055)
Kia Nurse(40009975),Veronica Burton(40009881),Breanna Stewart(40009869),Myisha Hines Allen(40009901),Natasha Mack(40009937),Satou Sabally(40009885)
Kaila Charles(40009935),Veronica Burton(40009881),Jessica Shepard(40009915),Kamilla Cardoso(40009877),Satou Sabally(40009885),Dana Evans(40009955)
Grace Berger(40009943),Kia Nurse(40009975),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Michaela Onyenwere(40009979),A'ja Wilson(40009859)
Paige Bueckers(40009875),Veronica Burton(40009881),Alyssa Thomas(40009861),Natasha Mack(40009937),Cheyenne Parker Tyus(40010055),Jewell Loyd(40009941)
Kahleah Copper(40009895),Kia Nurse(40009975),Kalani Brown(40010041),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Chelsea Gray(40009883)
Kahleah Copper(40009895),Veronica Burton(40009881),Kalani Brown(40010041),Kamilla Cardoso(40009877),Dearica Hamby(40009873),Jewell Loyd(40009941)
Grace Berger(40009943),Haley Jones(40009919),Alyssa Thomas(40009861),Michaela Onyenwere(40009979),Dearica Hamby(40009873),Natisha Hiedeman(40009925)
Haley Jones(40009919),Veronica Burton(40009881),Kamilla Cardoso(40009877),Kathryn Westbeld(40010007),Satou Sabally(40009885),Azurá Stevens(40009893)
Veronica Burton(40009881),Jackie Young(40009871),Kalani Brown(40010041),Satou Sabally(40009885),Dearica Hamby(40009873),Rae Burrell(40009969)
Haley Jones(40009919),Kaila Charles(40009935),Kamilla Cardoso(40009877),Satou Sabally(40009885),Dearica Hamby(40009873),NaLyssa Smith(40009965)
Haley Jones(40009919),Kahleah Copper(40009895),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Myisha Hines Allen(40009901)
Sami Whitcomb(40009959),Veronica Burton(40009881),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Jewell Loyd(40009941)
Haley Jones(40009919),Paige Bueckers(40009875),Alyssa Thomas(40009861),Maria Kliundikova(40009991),Michaela Onyenwere(40009979),Veronica Burton(40009881)
Paige Bueckers(40009875),Veronica Burton(40009881),Myisha Hines Allen(40009901),Natasha Mack(40009937),Satou Sabally(40009885),Rae Burrell(40009969)
Sami Whitcomb(40009959),Veronica Burton(40009881),Breanna Stewart(40009869),Iliana Rupert(40009921),Dearica Hamby(40009873),NaLyssa Smith(40009965)
Haley Jones(40009919),Kaila Charles(40009935),Iliana Rupert(40009921),Myisha Hines Allen(40009901),Azurá Stevens(40009893),Dearica Hamby(40009873)
Kaila Charles(40009935),Kia Nurse(40009975),Monique Billings(40009973),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Veronica Burton(40009881)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Maddy Westbeld(40010003),Natasha Mack(40009937),A'ja Wilson(40009859),Dearica Hamby(40009873)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Jessica Shepard(40009915),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Dearica Hamby(40009873)
Kahleah Copper(40009895),Kaila Charles(40009935),Alyssa Thomas(40009861),Jessica Shepard(40009915),Maddy Westbeld(40010003),Satou Sabally(40009885)
Sami Whitcomb(40009959),Veronica Burton(40009881),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Dearica Hamby(40009873),Rae Burrell(40009969)
Kia Nurse(40009975),Natisha Hiedeman(40009925),Kathryn Westbeld(40010007),A'ja Wilson(40009859),Azurá Stevens(40009893),Veronica Burton(40009881)
Kia Nurse(40009975),Natisha Hiedeman(40009925),Maddy Westbeld(40010003),Myisha Hines Allen(40009901),A'ja Wilson(40009859),Veronica Burton(40009881)
Grace Berger(40009943),Natasha Cloud(40009897),Kamilla Cardoso(40009877),Maddy Westbeld(40010003),Satou Sabally(40009885),Dearica Hamby(40009873)
Kahleah Copper(40009895),Natisha Hiedeman(40009925),Jonquel Jones(40009899),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Jewell Loyd(40009941)
Sami Whitcomb(40009959),Veronica Burton(40009881),Kamilla Cardoso(40009877),Monique Billings(40009973),Myisha Hines Allen(40009901),Dearica Hamby(40009873)
Kia Nurse(40009975),Veronica Burton(40009881),Maddy Westbeld(40010003),A'ja Wilson(40009859),Dearica Hamby(40009873),Dana Evans(40009955)
Kia Nurse(40009975),Veronica Burton(40009881),Alyssa Thomas(40009861),Jessica Shepard(40009915),Myisha Hines Allen(40009901),Dana Evans(40009955)
Kia Nurse(40009975),Paige Bueckers(40009875),Janelle Salaun(40009905),Kamilla Cardoso(40009877),Temi Fagbenle(40009945),Veronica Burton(40009881)
Kahleah Copper(40009895),Sami Whitcomb(40009959),Jonquel Jones(40009899),Natasha Mack(40009937),Satou Sabally(40009885),Veronica Burton(40009881)
Veronica Burton(40009881),Jackie Young(40009871),Kamilla Cardoso(40009877),Azurá Stevens(40009893),Cheyenne Parker Tyus(40010055),Jewell Loyd(40009941)
Kahleah Copper(40009895),Jewell Loyd(40009941),Maddy Westbeld(40010003),Natasha Mack(40009937),Satou Sabally(40009885),A'ja Wilson(40009859)
Kahleah Copper(40009895),Natisha Hiedeman(40009925),Kalani Brown(40010041),A'ja Wilson(40009859),NaLyssa Smith(40009965),Veronica Burton(40009881)
Paige Bueckers(40009875),Veronica Burton(40009881),Jessica Shepard(40009915),Kalani Brown(40010041),A'ja Wilson(40009859),Cheyenne Parker Tyus(40010055)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Alyssa Thomas(40009861),Kalani Brown(40010041),Dearica Hamby(40009873),Rae Burrell(40009969)
Kahleah Copper(40009895),Kia Nurse(40009975),Breanna Stewart(40009869),Kamilla Cardoso(40009877),NaLyssa Smith(40009965),Veronica Burton(40009881)
Kahleah Copper(40009895),Veronica Burton(40009881),Breanna Stewart(40009869),Maria Kliundikova(40009991),Dearica Hamby(40009873),Dana Evans(40009955)
Kia Nurse(40009975),Veronica Burton(40009881),Alyssa Thomas(40009861),Kamilla Cardoso(40009877),Michaela Onyenwere(40009979),Natasha Mack(40009937)
Natisha Hiedeman(40009925),Veronica Burton(40009881),Jessica Shepard(40009915),Maddy Westbeld(40010003),A'ja Wilson(40009859),Jewell Loyd(40009941)
Kahleah Copper(40009895),Kia Nurse(40009975),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Dearica Hamby(40009873),Jewell Loyd(40009941)
Kahleah Copper(40009895),Kia Nurse(40009975),Kamilla Cardoso(40009877),Monique Billings(40009973),A'ja Wilson(40009859),Jewell Loyd(40009941)
Grace Berger(40009943),Kayla McBride(40009923),Breanna Stewart(40009869),Janelle Salaun(40009905),Natasha Mack(40009937),Veronica Burton(40009881)
Kia Nurse(40009975),Paige Bueckers(40009875),Breanna Stewart(40009869),Kamilla Cardoso(40009877),Cheyenne Parker Tyus(40010055),Veronica Burton(40009881)
Kia Nurse(40009975),Paige Bueckers(40009875),Kamilla Cardoso(40009877),Myisha Hines Allen(40009901),Dearica Hamby(40009873),NaLyssa Smith(40009965)
